"address","latitude","longitude","business_name"
"24331 W. Eight Mile Rd.","42.4421653748","-83.2821960449","New St. Mark Baptist"
"23671 W. Seven Mile Rd.","42.4287567139","-83.2738342285","Aurora Coney Island"
"14498 Greenfield Rd.","42.3939590454","-83.1977081299","Kids Rainbow"
"15888 Greenfield Rd.","42.4082489014","-83.1986007690","New Creation Church of Apostolic"
"15951 Grand River Ave.","42.3944892883","-83.2035751343","Universal Coney Island"
"14451 Burt Rd.","42.3923530579","-83.2472915649","New Testament Worship Center"
"15540 Grand River Ave.","42.3942375183","-83.1991882324","Big Star Fish & Seafood"
"19835 W. McNichols Rd","42.4148979187","-83.2378234863","My Eye Candy Boutique Accessories & More"
"16022 McNichols Rd.","42.4159011841","-83.2049865723","My Juicy Collection"
"19441 Schoolcraft Ave.","42.3861351013","-83.2328338623","Billy Coney Island"
"19961 McIntyre","42.4376373291","-83.2639694214","New Faith Baptist Church"
"14657 Burt Rd.","42.3955230713","-83.2472152710","Praise Temple Church of God"
"20510 W. Seven Mile Rd.","42.4297065735","-83.2448272705","Bob's Pizza Palace"
"15320 Grand River Ave.","42.3921775818","-83.1963653564","Payless"
"17330 Fenkell Ave.","42.4012603760","-83.2129516602","New Jerusalem"
"22159 Grand River Ave.","42.4165573120","-83.2602767944","Redford Evangelical Lutheran Church"
"15400 Grand River Ave.","42.3929824829","-83.1977996826","Pretty Kitty Couture"
"23636 Grand River Ave.","42.4230690002","-83.2730941772","Bookies Ham and Soul"
"21446 Schoolcraft Rd.","42.3862419128","-83.2525787354","New Life Apostolic Church"
"24760 W. Seven Mile Rd.","42.4286918640","-83.2851486206","Delta Sigma Theta Sorority, Inc. Detroit Alumnae Chapter"
"15603 Grand River Ave.","42.3927497864","-83.1997451782","Bread Basket"
"15580 Grand river Ave.","42.3942375183","-83.1991882324","Rainbow"
"17377 Westbrook Ave.","42.4186744690","-83.2514419556","New Life Community Church"
"22122 W. Mc Nichols Rd.","42.4143447876","-83.2852172852","Redford Presbyterian Church"
"20346 W. Seven Mile Rd.","42.4297599792","-83.2425994873","She Said No Boutique"
"4202 2nd Ave","42.3501077000","-83.0655716000",""
"18614 Schoolcraft Rd.","42.3866043091","-83.2237548828","New Resurrection Faith Ministries, Inc."
"20200 Grand River Ave.","42.4096145630","-83.2394638062","Burger King"
"22575 W. Eight Mile Rd. Rd.","42.4430160522","-83.2654266357","Restoration Christian Fellowship"
"21427 Grand River Ave.","42.4145736694","-83.2529602051","Captain Jay's Fish and Chicken"
"14488 Greenfield Rd.","42.3939590454","-83.1977081299","Shoe Time"
"13991 Evergreen Rd.","42.3882331848","-83.2373275757","New Risen Christ Ministries International"
"14179 Evergreen Rd.","42.3894996643","-83.2377471924","Rosedale Park Baptist"
"19184 Grand River Ave.","42.4057960510","-83.2302169800","Sigee's Clothing"
"14161 Vaughn St.","42.3896102905","-83.2383880615","Rosedale Park Baptist"
"17620 Grand River Ave.","42.4000358582","-83.2157440186","Checkers"
"19750 W. Mc Nichols Rd.","42.4155464172","-83.2366561890","Trinity Faith United Methodist"
"22222 Grand River Ave.","42.4176368713","-83.2603378296","Wendy's"
"16000 McNichols Rd.","42.4159049988","-83.2047576904","Felton's Garage"
"19801 W. Eight Mile Rd.","42.4435424805","-83.2383956909","Checkers"
"22471 Grand River Ave.","42.4185714722","-83.2637100220","G & R Auto Sales"
"20160 W. Seven Mile Rd.","42.4295883179","-83.2404022217","China One"
"19631 W. Eight Mile Rd.","42.4436149597","-83.2364196777","GM Engineers & Associates"
"19129 Telegraph Rd.","42.4300155640","-83.2785186768","China One"
"13589 Greenfield Rd.","42.3853607178","-83.1981506348","Coin Laundry"
"23810 W. Seven Mile Rd.","42.4292640686","-83.2757263184","Solid Rock Baptist Church"
"14550 Grand River Ave.","42.3888969421","-83.1881103516","Grand River Ave. Glass"
"20725 W. Seven Mile Rd.","42.4286804199","-83.2854080200","True Light Apostolic Church"
"19741 W. McNichols Rd.","42.4148483276","-83.2366409302","Church's Chicken"
"19510 Seven Mile Rd.","42.4299545288","-83.2348480225","Bouncing Off The Wallz"
"14041 Greenfield Rd.","42.3890647888","-83.1986007690","Greenfield Auto Center"
"16505 Schoolcraft Ave.","42.3865966797","-83.2091979980","Star Steppers"
"17420 Grand River Ave.","42.3991203308","-83.2142257690","Wendy's"
"16209 W. Mc Nichols Rd.","42.4155883789","-83.2071914673","United Apostolic Church"
